# x y radius 
#  E:1.79e+06 E_potential:1.77e+06 E_contact:1.87e+04
9.26412e-01 2.03267e-01 2.03267e-01
1.48611e+00 4.26789e-01 4.26789e-01
3.22787e+00 3.84279e-01 3.84279e-01
4.70593e+00 3.90192e-01 3.90192e-01
5.36245e+00 2.88912e-01 2.88912e-01
6.29479e+00 3.14160e-01 3.14161e-01
7.03155e+00 4.55642e-01 4.55642e-01
8.06299e+00 6.24863e-01 6.24863e-01
9.15775e+00 6.08461e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 6.81380e-01 4.84850e-01
1.16443e+00 1.07589e+00 3.06759e-01
2.38640e+00 6.84872e-01 5.40730e-01
3.96066e+00 3.78200e-01 3.78200e-01
5.26612e+00 1.06090e+00 4.96823e-01
5.80906e+00 5.63289e-01 2.53642e-01
6.33399e+00 1.21075e+00 5.90259e-01
7.42768e+00 1.65889e+00 6.11014e-01
8.70848e+00 1.30321e+00 3.13233e-01
9.56639e+00 1.74049e+00 6.32263e-01
6.76463e-01 1.43446e+00 3.03722e-01
1.80388e+00 1.48566e+00 4.58522e-01
3.04382e+00 1.42315e+00 4.56213e-01
4.15867e+00 1.36788e+00 6.65174e-01
5.06680e+00 1.86548e+00 3.40155e-01
5.64973e+00 1.71293e+00 2.66207e-01
6.56075e+00 2.17632e+00 4.05845e-01
8.46821e+00 2.14947e+00 5.58722e-01
1.02255e+01 2.70967e+00 5.46789e-01
1.07647e+01 1.48863e+00 2.35280e-01
5.53729e-01 2.25641e+00 5.35578e-01
1.56566e+00 2.36156e+00 4.51293e-01
2.52552e+00 2.21475e+00 4.71856e-01
3.45408e+00 2.23433e+00 4.57513e-01
4.53115e+00 2.30637e+00 3.60493e-01
5.74136e+00 2.42164e+00 4.54904e-01
6.79893e+00 3.40588e+00 6.01748e-01
7.97963e+00 3.23444e+00 5.96246e-01
9.21926e+00 2.82155e+00 4.52824e-01
1.07318e+01 2.07316e+00 2.68164e-01
1.17013e+00 3.20000e+00 4.75879e-01
2.50000e+00 3.19913e+00 2.37212e-01
3.37485e+00 3.23215e+00 5.50189e-01
4.57252e+00 3.24435e+00 5.92512e-01
5.51063e+00 3.19913e+00 3.44590e-01
6.11654e+00 4.16553e+00 4.26074e-01
7.44581e+00 4.60395e+00 6.94379e-01
8.83839e+00 3.95844e+00 5.34943e-01
9.82992e+00 3.67237e+00 4.99880e-01
1.06953e+01 3.41729e+00 3.04731e-01
